Polling every 3000ms for 180000ms — L1=http://127.0.0.1:8545 L2=http://127.0.0.1:8547
elapsed  l1Block  l2Block  l1BaseFee(gwei)  l2GasPrice(gwei)  l2Fill%
   0s      178        9   0.000000025              0.1       0.00%
   3s      178        9   0.000000025              0.1       0.00%
   6s      184        9   0.000000025              0.1       0.00%
   9s      184        9   0.000000025              0.1       0.00%
  12s      190        9   0.000000025              0.1       0.00%
  15s      190       11   0.000000025              0.1       0.00%
  18s      196       11   0.000000025              0.1       0.00%
  21s      196       11   0.000000025              0.1       0.00%
  24s      202       17   0.000000025              0.1       0.00%
  27s      202       18   0.000000025              0.1       0.00%
  30s      208       21   0.000000025              0.1       0.00%
  33s      208       31   0.000000025              0.1       0.00%
  36s      214       43   0.000000025              0.1       0.00%
  39s      214       55   0.000000025              0.1       0.00%
  42s      220       67   0.000000025              0.1       0.00%
  45s      220       79   0.000000025              0.1       0.00%
  48s      226       91   0.000000025              0.1       0.00%
  51s      226      103   0.000000025              0.1       0.00%
  54s      232      116   0.000000025              0.1       0.00%
  57s      232      128   0.000000025              0.1       0.00%
  60s      238      140   0.000000025              0.1       0.00%
  63s      238      152   0.000000025              0.1       0.00%
  66s      244      164   0.000000025              0.1       0.00%
  69s      244      176   0.000000025              0.1       0.00%
  72s      250      188   0.000000025              0.1       0.00%
  75s      250      200   0.000000025              0.1       0.00%
  78s      256      212   0.000000025              0.1       0.00%
  81s      256      224   0.000000025              0.1       0.00%
  84s      262      237   0.000000025              0.1       0.00%
  87s      262      249   0.000000025              0.1       0.00%
  90s      268      261   0.000000025              0.1       0.00%
  94s      268      273   0.000000025              0.1       0.00%
  97s      274      285   0.000000025              0.1       0.00%
 100s      274      297   0.000000025              0.1       0.00%
 103s      280      309   0.000000025              0.1       0.00%
 106s      280      321   0.000000025              0.1       0.00%
 109s      286      330   0.000000025              0.1       0.00%
 112s      286      336   0.000000025              0.1       0.00%
 115s      292      343   0.000000025              0.1       0.00%
 118s      292      349   0.000000025              0.1       0.00%
 121s      298      355   0.000000025              0.1       0.00%
 124s      298      361   0.000000025              0.1       0.00%
 127s      305      367   0.000000025              0.1       0.00%
 130s      305      373   0.000000025              0.1       0.00%
 133s      311      379   0.000000025              0.1       0.00%
 136s      311      385   0.000000025              0.1       0.00%
 139s      317      391   0.000000025              0.1       0.00%
 142s      317      397   0.000000025              0.1       0.00%
 145s      323      403   0.000000025              0.1       0.00%
 148s      323      409   0.000000025              0.1       0.00%
 151s      329      415   0.000000025              0.1       0.00%
 154s      329      421   0.000000025              0.1       0.00%
 157s      335      427   0.000000025              0.1       0.00%
 160s      335      433   0.000000025              0.1       0.00%
 163s      341      439   0.000000025              0.1       0.00%
 166s      341      445   0.000000025              0.1       0.00%
 169s      347      451   0.000000025              0.1       0.00%
 172s      347      457   0.000000025              0.1       0.00%
 175s      353      464   0.000000025              0.1       0.00%
 178s      353      470   0.000000025              0.1       0.00%
Done. Metrics appended to ../output/metrics-live-demo.ndjson
