Polling every 2000ms for 100000ms — L1=http://127.0.0.1:8545 L2=http://127.0.0.1:8547
elapsed  l1Block  l2Block  l1BaseFee(gwei)  l2GasPrice(gwei)  l2Fill%
   0s      595     1333   0.000000029              0.1       0.00%
   2s      595     1341   0.000000029              0.1       0.00%
   4s      599     1349   0.000000029              0.1       0.00%
   6s      599     1357   0.000000029              0.1       0.00%
   8s      603     1365   0.000000029              0.1       0.00%
  10s      603     1373   0.000000029              0.1       0.00%
  12s      607     1381   0.000000029              0.1       0.00%
  14s      607     1390   0.000000029              0.1       0.00%
  16s      611     1399   0.000000029              0.1       0.00%
  18s      611     1407   0.000000029              0.1       0.00%
  20s      615     1415   0.000000029              0.1       0.00%
  22s      615     1423   0.000000029              0.1       0.00%
  24s      619     1431   0.000000029              0.1       0.00%
  26s      619     1439   0.000000029              0.1       0.00%
  28s      623     1447   0.000000029              0.1       0.00%
  30s      623     1455   0.000000029              0.1       0.00%
  32s      627     1463   0.000000029              0.1       0.00%
  34s      627     1471   0.000000029              0.1       0.00%
  36s      631     1479   0.000000029              0.1       0.00%
  38s      631     1487   0.000000029              0.1       0.00%
  40s      635     1495   0.000000029              0.1       0.00%
  42s      635     1503   0.000000029              0.1       0.00%
  44s      639     1511   0.000000029              0.1       0.00%
  46s      639     1520   0.000000029              0.1       0.00%
  48s      643     1528   0.000000029              0.1       0.00%
  50s      643     1536   0.000000029              0.1       0.00%
  52s      647     1544   0.000000029              0.1       0.00%
  54s      647     1552   0.000000029              0.1       0.00%
  56s      651     1560   0.000000029              0.1       0.00%
  58s      651     1568   0.000000029              0.1       0.00%
  61s      655     1576   0.000000029              0.1       0.00%
  63s      655     1584   0.000000029              0.1       0.00%
  65s      659     1592   0.000000029              0.1       0.00%
  67s      659     1600   0.000000029              0.1       0.00%
  69s      663     1609   0.000000029              0.1       0.00%
  71s      663     1617   0.000000029              0.1       0.00%
  73s      667     1625   0.000000029              0.1       0.00%
  75s      667     1633   0.000000029              0.1       0.00%
  77s      671     1642   0.000000029              0.1       0.00%
  79s      671     1650   0.000000029              0.1       0.00%
  81s      675     1658   0.000000029              0.1       0.00%
  83s      675     1666   0.000000029              0.1       0.00%
  85s      679     1674   0.000000029              0.1       0.00%
  87s      679     1682   0.000000029              0.1       0.00%
  89s      683     1690   0.000000029              0.1       0.00%
  91s      683     1698   0.000000029              0.1       0.00%
  93s      687     1706   0.000000029              0.1       0.00%
  95s      687     1714   0.000000029              0.1       0.00%
  97s      691     1722   0.000000029              0.1       0.00%
  99s      691     1730   0.000000029              0.1       0.00%
Done. Metrics appended to ../output/metrics.ndjson
